census,Rep,Micro,Pan,Abundance,Richness,Simpsons
1,1,Open,Blue,23,4,0.370510397
1,1,Shrub,Blue,16,5,0.71875
1,2,Open,Yellow,13,7,0.804733728
1,2,Shrub,Yellow,13,6,0.733727811
1,3,Open,White,5,4,0.72
1,3,Shrub,White,7,5,0.734693878
1,4,Open,Blue,2,1,0
1,4,Shrub,Blue,12,6,0.75
1,5,Open,Yellow,9,4,0.617283951
1,5,Shrub,Yellow,11,7,0.826446281
1,6,Open,White,15,6,0.746666667
1,6,Shrub,White,4,4,0.75
1,7,Open,Blue,12,5,0.680555556
1,7,Shrub,Blue,15,7,0.675555556
1,8,Open,Yellow,5,3,0.56
1,8,Shrub,Yellow,157,6,0.086737799
1,9,Open,White,5,4,0.72
1,9,Shrub,White,12,6,0.75
1,10,Open,Blue,4,3,0.625
1,10,Shrub,Blue,7,5,0.775510204
1,11,Open,Yellow,5,3,0.64
1,11,Shrub,Yellow,7,4,0.612244898
1,12,Open,White,7,6,0.816326531
1,12,Shrub,White,13,5,0.74556213
1,13,Open,Blue,7,4,0.612244898
1,13,Shrub,Blue,12,7,0.833333333
1,14,Open,Yellow,10,5,0.72
1,14,Shrub,Yellow,8,5,0.78125
1,15,Open,White,12,6,0.694444444
1,15,Shrub,White,24,9,0.819444444
1,16,Open,Blue,11,7,0.826446281
1,16,Shrub,Blue,4,2,0.5
1,17,Open,Yellow,12,4,0.416666667
1,17,Shrub,Yellow,8,8,0.875
1,18,Open,White,12,6,0.75
1,18,Shrub,White,17,7,0.76816609
1,19,Open,Blue,13,7,0.804733728
1,19,Shrub,Blue,7,5,0.775510204
1,20,Open,Yellow,8,6,0.8125
1,20,Shrub,Yellow,9,6,0.740740741
1,21,Open,White,13,7,0.828402367
1,21,Shrub,White,12,4,0.638888889
1,22,Open,Blue,12,6,0.736111111
1,22,Shrub,Blue,10,5,0.76
1,23,Open,Yellow,12,9,0.875
1,23,Shrub,Yellow,0,0,0
1,24,Open,White,7,7,0.857142857
1,24,Shrub,White,10,6,0.8
1,25,Open,Blue,12,8,0.819444444
1,25,Shrub,Blue,7,6,0.816326531
1,26,Open,Yellow,0,0,0.666666667
1,26,Shrub,Yellow,3,3,0
1,27,Open,White,8,6,0.78125
1,27,Shrub,White,6,3,0.611111111
1,28,Open,Blue,6,5,0.777777778
1,28,Shrub,Blue,9,6,0.740740741
1,29,Open,Blue,6,4,0.722222222
1,29,Shrub,Blue,5,3,0.56
1,30,Open,White,8,6,0.78125
1,30,Shrub,White,10,5,0.68
2,1,Open,White,17,5,0.650519031
2,1,Shrub,White,28,9,0.757653061
2,2,Open,Yellow,5,1,0
2,2,Shrub,Yellow,9,5,0.765432099
2,3,Open,Blue,9,6,0.814814815
2,3,Shrub,Blue,17,6,0.712802768
2,4,Open,White,2,2,0.5
2,4,Shrub,White,12,8,0.819444444
2,5,Open,Yellow,4,3,0.625
2,5,Shrub,Yellow,4,3,0.625
2,6,Open,Blue,18,5,0.518518519
2,6,Shrub,Blue,7,5,0.775510204
2,7,Open,White,12,7,0.763888889
2,7,Shrub,White,6,3,0.611111111
2,8,Open,Yellow,4,4,0.75
2,8,Shrub,Yellow,3,3,0.666666667
2,9,Open,Blue,7,5,0.775510204
2,9,Shrub,Blue,4,4,0.75
2,10,Open,White,3,3,0.666666667
2,10,Shrub,White,10,6,0.76
2,11,Open,Yellow,4,3,0.625
2,11,Shrub,Yellow,6,4,0.666666667
2,12,Open,Blue,6,4,0.666666667
2,12,Shrub,Blue,7,4,0.612244898
2,13,Open,White,2,2,0.5
2,13,Shrub,White,13,7,0.804733728
2,14,Open,Yellow,3,3,0.666666667
2,14,Shrub,Yellow,8,6,0.8125
2,15,Open,Blue,2,1,0
2,15,Shrub,Blue,6,2,0.444444444
2,16,Open,White,7,5,0.775510204
2,16,Shrub,White,5,3,0.64
2,17,Open,Yellow,4,4,0.75
2,17,Shrub,Yellow,4,3,0.625
2,18,Open,Blue,3,3,0.666666667
2,18,Shrub,Blue,4,3,0.625
2,19,Open,White,7,4,0.612244898
2,19,Shrub,White,4,2,0.5
2,20,Open,Yellow,9,5,0.765432099
2,20,Shrub,Yellow,5,2,0.32
2,21,Open,Blue,0,0,0.777777778
2,21,Shrub,Blue,6,5,0
2,22,Open,White,7,2,0.408163265
2,22,Shrub,White,11,6,0.727272727
2,23,Open,Yellow,9,5,0.740740741
2,23,Shrub,Yellow,5,4,0.72
2,24,Open,Blue,12,7,0.708333333
2,24,Shrub,Blue,6,5,0.777777778
2,25,Open,White,9,8,0.864197531
2,25,Shrub,White,41,8,0.45092207
2,26,Open,Yellow,6,4,0.666666667
2,26,Shrub,Yellow,5,4,0.72
2,27,Open,Blue,13,8,0.840236686
2,27,Shrub,Blue,7,5,0.775510204
2,28,Open,White,9,6,0.790123457
2,28,Shrub,White,11,7,0.809917355
2,29,Open,Yellow,10,3,0.46
2,29,Shrub,Yellow,18,5,0.567901235
2,30,Open,Blue,20,5,0.54
2,30,Shrub,Blue,11,6,0.809917355
3,1,Open,Blue,19,7,0.692520776
3,1,Shrub,Blue,28,4,0.456632653
3,2,Open,Yellow,12,6,0.791666667
3,2,Shrub,Yellow,9,8,0.864197531
3,3,Open,White,12,7,0.791666667
3,3,Shrub,White,11,8,0.842975207
3,4,Open,Blue,7,5,0.775510204
3,4,Shrub,Blue,27,7,0.716049383
3,5,Open,Yellow,4,2,0.5
3,5,Shrub,Yellow,3,3,0.666666667
3,6,Open,White,19,10,0.836565097
3,6,Shrub,White,20,8,0.795
3,7,Open,Blue,8,8,0.875
3,7,Shrub,Blue,20,6,0.69
3,8,Open,Yellow,4,2,0.5
3,8,Shrub,Yellow,3,2,0.444444444
3,9,Open,White,8,5,0.78125
3,9,Shrub,White,11,6,0.809917355
3,10,Open,Blue,5,5,0.8
3,10,Shrub,Blue,5,4,0.72
3,11,Open,Yellow,5,4,0.72
3,11,Shrub,Yellow,9,6,0.814814815
3,12,Open,White,6,5,0.777777778
3,12,Shrub,White,8,4,0.71875
3,13,Open,Blue,10,6,0.8
3,13,Shrub,Blue,26,11,0.869822485
3,14,Open,Yellow,4,4,0.75
3,14,Shrub,Yellow,8,5,0.75
3,15,Open,White,5,5,0.8
3,15,Shrub,White,7,6,0.816326531
3,16,Open,Blue,3,3,0.666666667
3,16,Shrub,Blue,2,2,0.5
3,17,Open,Yellow,7,4,0.693877551
3,17,Shrub,Yellow,7,4,0.693877551
3,18,Open,White,10,9,0.88
3,18,Shrub,White,8,6,0.78125
3,19,Open,Blue,6,3,0.666666667
3,19,Shrub,Blue,7,7,0.857142857
3,20,Open,Yellow,7,6,0.816326531
3,20,Shrub,Yellow,7,4,0.693877551
3,21,Open,White,8,5,0.75
3,21,Shrub,White,9,5,0.765432099
3,22,Open,Blue,10,7,0.82
3,22,Shrub,Blue,7,5,0.775510204
3,23,Open,Yellow,10,7,0.82
3,23,Shrub,Yellow,5,5,0.8
3,24,Open,White,8,5,0.6875
3,24,Shrub,White,9,6,0.790123457
3,25,Open,Blue,9,6,0.790123457
3,25,Shrub,Blue,6,4,0.722222222
3,26,Open,Yellow,6,5,0.777777778
3,26,Shrub,Yellow,6,4,0.666666667
3,27,Open,White,12,7,0.791666667
3,27,Shrub,White,7,5,0.775510204
3,28,Open,Blue,4,4,0.75
3,28,Shrub,Blue,1,1,0
3,29,Open,Yellow,7,6,0.816326531
3,29,Shrub,Yellow,10,8,0.84
3,30,Open,White,11,7,0.826446281
3,30,Shrub,White,9,7,0.814814815
4,1,Open,White,5,4,0.72
4,1,Shrub,White,10,7,0.84
4,2,Open,Yellow,4,2,0.375
4,2,Shrub,Yellow,4,2,0.5
4,3,Open,Blue,6,5,0.777777778
4,3,Shrub,Blue,12,7,0.805555556
4,4,Open,White,9,4,0.691358025
4,4,Shrub,White,34,9,0.704152249
4,5,Open,Yellow,3,3,0.666666667
4,5,Shrub,Yellow,6,5,0.777777778
4,6,Open,Blue,7,4,0.612244898
4,6,Shrub,Blue,4,4,0.75
4,7,Open,White,11,7,0.842975207
4,7,Shrub,White,6,4,0.722222222
4,8,Open,Yellow,3,3,0.666666667
4,8,Shrub,Yellow,4,3,0.625
4,9,Open,Blue,2,2,0.5
4,9,Shrub,Blue,15,6,0.533333333
4,10,Open,White,3,3,0.666666667
4,10,Shrub,White,11,4,0.611570248
4,11,Open,Yellow,7,2,0.408163265
4,11,Shrub,Yellow,7,6,0.816326531
4,12,Open,Blue,6,4,0.722222222
4,12,Shrub,Blue,8,7,0.84375
4,13,Open,White,0,0,0.75
4,13,Shrub,White,4,4,0
4,14,Open,Yellow,2,2,0.5
4,14,Shrub,Yellow,4,3,0.625
4,15,Open,Blue,4,4,0.75
4,15,Shrub,Blue,6,4,0.666666667
4,16,Open,White,10,5,0.68
4,16,Shrub,White,5,4,0.72
4,17,Open,Yellow,6,4,0.666666667
4,17,Shrub,Yellow,6,4,0.722222222
4,18,Open,Blue,4,1,0
4,18,Shrub,Blue,8,6,0.8125
4,19,Open,White,4,3,0.625
4,19,Shrub,White,10,5,0.6
4,20,Open,Yellow,4,3,0.625
4,20,Shrub,Yellow,17,9,0.837370242
4,21,Open,Blue,6,3,0.611111111
4,21,Shrub,Blue,1,1,0
4,22,Open,White,2,2,0.5
4,22,Shrub,White,10,7,0.84
4,23,Open,Yellow,0,0,0.611111111
4,23,Shrub,Yellow,6,3,0
4,24,Open,Blue,6,5,0.777777778
4,24,Shrub,Blue,5,3,0.64
4,25,Open,White,9,6,0.790123457
4,25,Shrub,White,12,6,0.777777778
4,26,Open,Yellow,5,3,0.56
4,26,Shrub,Yellow,13,6,0.721893491
4,27,Open,Blue,16,4,0.6328125
4,27,Shrub,Blue,11,6,0.727272727
4,28,Open,White,13,3,0.272189349
4,28,Shrub,White,12,5,0.722222222
4,29,Open,Yellow,11,8,0.859504132
4,29,Shrub,Yellow,8,5,0.75
4,30,Open,Blue,13,7,0.769230769
4,30,Shrub,Blue,18,6,0.75308642
5,1,Open,Blue,10,5,0.76
5,1,Shrub,Blue,16,8,0.828125
5,2,Open,Yellow,6,5,0.777777778
5,2,Shrub,Yellow,10,6,0.8
5,3,Open,White,15,5,0.444444444
5,3,Shrub,White,20,6,0.49
5,4,Open,Blue,8,6,0.78125
5,4,Shrub,Blue,10,5,0.74
5,5,Open,Yellow,9,6,0.814814815
5,5,Shrub,Yellow,11,6,0.79338843
5,6,Open,White,7,4,0.693877551
5,6,Shrub,White,4,2,0.375
5,7,Open,Blue,6,3,0.611111111
5,7,Shrub,Blue,7,6,0.816326531
5,8,Open,Yellow,9,5,0.765432099
5,8,Shrub,Yellow,5,4,0.72
5,9,Open,White,6,5,0.777777778
5,9,Shrub,White,16,9,0.765625
5,10,Open,Blue,6,3,0.611111111
5,10,Shrub,Blue,6,3,0.611111111
5,11,Open,Yellow,5,3,0.56
5,11,Shrub,Yellow,6,4,0.722222222
5,12,Open,White,4,3,0.625
5,12,Shrub,White,10,5,0.72
5,13,Open,Blue,5,5,0.8
5,13,Shrub,Blue,7,4,0.693877551
5,14,Open,Yellow,6,3,0.5
5,14,Shrub,Yellow,13,8,0.828402367
5,15,Open,White,7,2,0.489795918
5,15,Shrub,White,12,7,0.819444444
5,16,Open,Blue,5,3,0.64
5,16,Shrub,Blue,5,4,0.72
5,17,Open,Yellow,8,1,0
5,17,Shrub,Yellow,8,4,0.71875
5,18,Open,White,5,2,0.32
5,18,Shrub,White,5,5,0.8
5,19,Open,Blue,4,2,0.5
5,19,Shrub,White,7,6,0.816326531
5,20,Open,Yellow,3,2,0.444444444
5,20,Shrub,Yellow,8,6,0.8125
5,21,Open,White,0,0,0.808888889
5,21,Shrub,White,15,8,0
5,22,Open,Blue,6,5,0.777777778
5,22,Shrub,Blue,4,2,0.375
5,23,Open,Yellow,4,3,0.625
5,23,Shrub,Yellow,4,2,0.375
5,24,Open,White,5,3,0.56
5,24,Shrub,White,7,5,0.775510204
5,25,Open,Blue,2,2,0.5
5,25,Shrub,Blue,8,6,0.8125
5,26,Open,Yellow,1,1,0
5,26,Shrub,Yellow,9,5,0.740740741
5,27,Open,White,7,5,0.734693878
5,27,Shrub,White,5,5,0.8
5,28,Open,Blue,11,8,0.809917355
5,28,Shrub,Blue,6,3,0.611111111
5,29,Open,Yellow,8,4,0.5625
5,29,Shrub,Yellow,7,4,0.693877551
5,30,Open,White,12,6,0.625
5,30,Shrub,White,13,6,0.781065089
6,1,Open,White,12,4,0.416666667
6,1,Shrub,White,10,5,0.74
6,2,Open,Yellow,7,1,0
6,2,Shrub,Yellow,7,5,0.734693878
6,3,Open,Blue,7,4,0.734693878
6,3,Shrub,Blue,8,4,0.65625
6,4,Open,White,10,3,0.46
6,4,Shrub,White,7,4,0.693877551
6,5,Open,Yellow,7,5,0.775510204
6,5,Shrub,Yellow,2,1,0
6,6,Open,Blue,4,2,0.375
6,6,Shrub,Blue,4,4,0.75
6,7,Open,White,9,5,0.765432099
6,7,Shrub,White,7,6,0.816326531
6,8,Open,Yellow,4,3,0.625
6,8,Shrub,Yellow,4,2,0.375
6,9,Open,Blue,6,3,0.611111111
6,9,Shrub,Blue,6,6,0.833333333
6,10,Open,White,7,5,0.775510204
6,10,Shrub,White,3,2,0.444444444
6,11,Open,Yellow,5,5,0.8
6,11,Shrub,Yellow,6,3,0.5
6,12,Open,Blue,7,4,0.693877551
6,12,Shrub,Blue,12,6,0.791666667
6,13,Open,White,13,4,0.568047337
6,13,Shrub,Yellow,6,5,0.777777778
6,14,Open,Yellow,5,3,0.56
6,14,Shrub,Yellow,5,2,0.32
6,15,Open,Blue,6,2,0.277777778
6,15,Shrub,Blue,5,3,0.56
6,16,Open,White,10,3,0.34
6,16,Shrub,White,16,8,0.75
6,17,Open,Yellow,4,1,0
6,17,Shrub,Yellow,13,9,0.840236686
6,18,Open,Blue,5,3,0.64
6,18,Shrub,Blue,4,3,0.625
6,19,Open,White,9,6,0.790123457
6,19,Shrub,White,6,4,0.666666667
6,20,Open,Yellow,0,0,0.842975207
6,20,Shrub,Yellow,11,8,0
6,21,Open,Blue,14,4,0.530612245
6,21,Shrub,Blue,4,2,0.375
6,22,Open,White,6,5,0.777777778
6,22,Shrub,White,6,2,0.444444444
6,23,Open,Yellow,5,3,0.56
6,23,Shrub,Yellow,10,4,0.58
6,24,Open,Blue,6,3,0.611111111
6,24,Shrub,Blue,6,3,0.611111111
6,25,Open,White,11,6,0.727272727
6,25,Shrub,White,13,6,0.769230769
6,26,Open,Yellow,3,2,0.444444444
6,26,Shrub,Yellow,8,5,0.75
6,27,Open,Blue,8,4,0.65625
6,27,Shrub,Blue,5,4,0.72
6,28,Open,White,14,4,0.459183673
6,28,Shrub,White,10,5,0.76
6,29,Open,Yellow,13,7,0.816568047
6,29,Shrub,Yellow,7,4,0.693877551
6,30,Open,Blue,18,4,0.450617284
6,30,Shrub,Blue,4,4,0.75
7,1,Open,Blue,11,6,0.776859504
7,1,Shrub,Blue,32,8,0.71875
7,2,Open,Yellow,8,5,0.75
7,2,Shrub,Yellow,6,3,0.5
7,3,Open,White,4,3,0.625
7,3,Shrub,White,8,5,0.6875
7,4,Open,Blue,5,2,0.48
7,4,Shrub,Blue,15,6,0.737777778
7,5,Open,Yellow,2,2,0.5
7,5,Shrub,Yellow,6,4,0.722222222
7,6,Open,White,9,6,0.740740741
7,6,Shrub,White,2,1,0
7,7,Open,Blue,3,3,0.666666667
7,7,Shrub,Blue,12,4,0.694444444
7,8,Open,Yellow,6,3,0.5
7,8,Shrub,Yellow,8,5,0.78125
7,9,Open,White,5,4,0.72
7,9,Shrub,White,1,1,0
7,10,Open,Blue,1,1,0
7,10,Shrub,Blue,5,4,0.72
7,11,Open,Yellow,3,2,0.444444444
7,11,Shrub,Yellow,2,2,0.5
7,12,Open,White,5,3,0.64
7,12,Shrub,White,7,6,0.816326531
7,13,Open,Blue,0,0,0
7,13,Shrub,Blue,0,0,0
7,14,Open,Yellow,9,5,0.740740741
7,14,Shrub,Yellow,10,5,0.74
7,15,Open,White,8,5,0.75
7,15,Shrub,White,8,4,0.65625
7,16,Open,Blue,3,1,0
7,16,Shrub,Blue,15,7,0.8
7,17,Open,Yellow,3,3,0.666666667
7,17,Shrub,Yellow,6,2,0.277777778
7,18,Open,White,4,4,0.75
7,18,Shrub,White,9,6,0.790123457
7,19,Open,Blue,8,6,0.78125
7,19,Shrub,Blue,10,6,0.8
7,20,Open,Yellow,2,2,0.5
7,20,Shrub,Yellow,9,6,0.790123457
7,21,Open,White,0,0,0.58
7,21,Shrub,White,10,3,0
7,22,Open,Blue,0,0,0
7,22,Shrub,Blue,1,1,0
7,23,Open,Yellow,6,4,0.666666667
7,23,Shrub,Yellow,11,8,0.842975207
7,24,Open,White,5,3,0.56
7,24,Shrub,White,9,6,0.814814815
7,25,Open,Blue,8,4,0.65625
7,25,Shrub,Blue,0,0,0
7,26,Open,White,5,4,0.72
7,26,Shrub,Yellow,10,6,0.8
7,27,Open,White,1,1,0
7,27,Shrub,White,6,5,0.777777778
7,28,Open,Blue,6,4,0.666666667
7,28,Shrub,Blue,5,4,0.72
7,29,Open,Yellow,4,3,0.625
7,29,Shrub,Yellow,7,3,0.571428571
7,30,Open,White,15,4,0.56
7,30,Shrub,White,8,5,0.75
8,1,Open,White,12,4,0.638888889
8,1,Shrub,White,5,4,0.72
8,2,Open,Yellow,0,0,0
8,2,Shrub,Yellow,0,0,0
8,3,Open,Blue,7,3,0.571428571
8,3,Shrub,Blue,5,4,0.72
8,4,Open,White,9,6,0.790123457
8,4,Shrub,White,7,5,0.734693878
8,5,Open,Yellow,11,4,0.611570248
8,5,Shrub,Yellow,12,4,0.597222222
8,6,Open,Blue,4,3,0.625
8,6,Shrub,Blue,21,5,0.462585034
8,7,Open,White,11,5,0.644628099
8,7,Shrub,White,14,8,0.836734694
8,8,Open,Yellow,8,6,0.8125
8,8,Shrub,Yellow,21,5,0.553287982
8,9,Open,Blue,6,4,0.722222222
8,9,Shrub,Blue,5,4,0.72
8,10,Open,White,13,4,0.603550296
8,10,Shrub,White,7,6,0.816326531
8,11,Open,Yellow,11,3,0.595041322
8,11,Shrub,Yellow,7,3,0.612244898
8,12,Open,Blue,10,5,0.68
8,12,Shrub,Blue,5,3,0.56
8,13,Open,White,9,5,0.765432099
8,13,Shrub,White,8,5,0.6875
8,14,Open,Yellow,20,4,0.345
8,14,Shrub,Yellow,18,9,0.87037037
8,15,Open,Blue,9,5,0.790123457
8,15,Shrub,Blue,9,4,0.691358025
8,16,Open,White,9,6,0.790123457
8,16,Shrub,White,9,7,0.839506173
8,17,Open,Yellow,8,5,0.75
8,17,Shrub,Yellow,4,4,0.75
8,18,Open,Blue,8,5,0.75
8,18,Shrub,Blue,6,4,0.666666667
8,19,Open,White,9,6,0.790123457
8,19,Shrub,White,6,4,0.722222222
8,20,Open,Yellow,7,6,0.816326531
8,20,Shrub,Yellow,9,3,0.592592593
8,21,Open,Blue,8,4,0.71875
8,21,Shrub,Blue,136,7,0.342344291
8,22,Open,White,13,5,0.49704142
8,22,Shrub,White,55,7,0.265785124
8,23,Open,Yellow,35,7,0.798367347
8,23,Shrub,Yellow,6,4,0.666666667
8,24,Open,Blue,14,5,0.653061224
8,24,Shrub,Blue,7,5,0.775510204
8,25,Open,White,6,4,0.666666667
8,25,Shrub,White,12,5,0.722222222
8,26,Open,Yellow,16,6,0.765625
8,26,Shrub,Yellow,21,2,0.090702948
8,27,Open,Blue,13,5,0.639053254
8,27,Shrub,Blue,3,2,0.444444444
8,28,Open,White,6,3,0.5
8,28,Shrub,White,9,5,0.716049383
8,29,Open,Yellow,11,4,0.611570248
8,29,Shrub,Yellow,12,6,0.777777778
8,30,Open,Blue,12,7,0.833333333
8,30,Shrub,Blue,12,4,0.652777778
9,1,Open,Blue,24,6,0.715277778
9,1,Shrub,Blue,13,5,0.639053254
9,2,Open,Yellow,6,4,0.722222222
9,2,Shrub,Yellow,14,5,0.704081633
9,3,Open,White,10,4,0.7
9,3,Shrub,White,11,6,0.79338843
9,4,Open,Blue,11,2,0.297520661
9,4,Shrub,Blue,9,5,0.765432099
9,5,Open,Yellow,7,3,0.571428571
9,5,Shrub,Yellow,12,9,0.861111111
9,6,Open,White,13,6,0.769230769
9,6,Shrub,White,16,9,0.8515625
9,7,Open,Blue,3,2,0.444444444
9,7,Shrub,Blue,8,6,0.8125
9,8,Open,Yellow,17,5,0.726643599
9,8,Shrub,Yellow,14,9,0.816326531
9,9,Open,White,26,8,0.781065089
9,9,Shrub,White,9,6,0.790123457
9,10,Open,Blue,21,6,0.530612245
9,10,Shrub,Blue,8,6,0.8125
9,11,Open,Yellow,24,5,0.416666667
9,11,Shrub,Yellow,11,7,0.826446281
9,12,Open,White,18,8,0.709876543
9,12,Shrub,White,14,8,0.826530612
9,13,Open,Blue,8,4,0.6875
9,13,Shrub,Blue,14,7,0.806122449
9,14,Open,Yellow,25,5,0.4032
9,14,Shrub,Yellow,9,5,0.765432099
9,15,Open,White,26,7,0.50295858
9,15,Shrub,White,21,9,0.811791383
9,16,Open,Blue,16,7,0.796875
9,16,Shrub,Blue,10,6,0.8
9,17,Open,Yellow,13,5,0.769230769
9,17,Shrub,Yellow,7,6,0.816326531
9,18,Open,White,0,0,0
9,18,Shrub,White,0,0,0
9,19,Open,Blue,12,9,0.861111111
9,19,Shrub,Blue,3,2,0.444444444
9,20,Open,Yellow,7,5,0.734693878
9,20,Shrub,Yellow,16,7,0.765625
9,21,Open,White,15,4,0.346666667
9,21,Shrub,White,15,10,0.862222222
9,22,Open,Blue,8,7,0.84375
9,22,Shrub,Blue,10,7,0.82
9,23,Open,Yellow,15,6,0.773333333
9,23,Shrub,Yellow,8,5,0.75
9,24,Open,White,27,7,0.68861454
9,24,Shrub,White,7,4,0.734693878
9,25,Open,Blue,6,5,0.777777778
9,25,Shrub,Blue,14,9,0.857142857
9,26,Open,Yellow,19,4,0.592797784
9,26,Shrub,Yellow,13,6,0.792899408
9,27,Open,White,28,8,0.698979592
9,27,Shrub,White,8,6,0.8125
9,28,Open,Blue,16,6,0.75
9,28,Shrub,Blue,10,6,0.76
9,29,Open,Yellow,26,8,0.76035503
9,29,Shrub,Yellow,8,6,0.8125
9,30,Open,White,15,6,0.693333333
9,30,Shrub,White,21,6,0.770975057
